DIST_CODE,ASSESSMENT SUBJECT,DATA_CATEGORY_GROUP,DATA_CATEGORY,ECDS_REPORTED,BOTH_BOY_EOY_ASSESSED,MATCH_PROFICIENT_EOY,ECDS_REPORTED_suppress,BOTH_BOY_EOY_ASSESSED_suppress,MATCH_PROFICIENT_EOY_suppress,ECDS_REPORTED_noisy_pp,BOTH_BOY_EOY_ASSESSED_noisy_pp,MATCH_PROFICIENT_EOY_noisy_pp
015822,Writing,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,9,9,8
015822,Writing,Race/Ethnicity,Hispanic/Latino,351,271,262,351,271,262,351,272,261
015822,Writing,Race/Ethnicity,Other,16,8,8,16,NA,NA,16,10,7
015822,Writing,Race/Ethnicity,White,11,6,6,NA,NA,NA,10,5,5
015822,Writing,Homeless,Homeless,11,6,6,11,NA,NA,12,8,6
015822,Writing,In Foster Care,In Foster Care,5,3,3,NA,NA,NA,5,3,3
015822,Health,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,9,9,6
015822,Health,Race/Ethnicity,Hispanic/Latino,351,271,262,351,271,262,350,270,262
015822,Health,Race/Ethnicity,Other,16,12,8,16,12,NA,15,11,7
015822,Health,Race/Ethnicity,White,11,6,6,NA,NA,NA,10,9,6
015822,Health,Homeless,Homeless,11,6,6,11,NA,NA,12,5,5
015822,Health,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,3,2,2
015822,Mathematics,Race/Ethnicity,Black or African American,9,9,8,NA,NA,NA,8,8,8
015822,Mathematics,Race/Ethnicity,Hispanic/Latino,351,268,253,351,268,253,352,270,251
015822,Mathematics,Race/Ethnicity,Other,16,7,7,16,NA,NA,16,7,6
015822,Mathematics,Race/Ethnicity,White,11,6,6,NA,NA,NA,11,6,6
015822,Mathematics,Homeless,Homeless,11,6,6,11,NA,NA,12,5,5
015822,Mathematics,In Foster Care,In Foster Care,5,3,2,NA,NA,NA,6,1,1
015828,Reading,Race/Ethnicity,Black or African American,45,36,24,45,36,24,45,34,24
015828,Reading,Race/Ethnicity,Hispanic/Latino,140,99,72,140,99,72,140,98,73
015828,Reading,Race/Ethnicity,Other,16,11,11,16,11,11,14,12,10
015828,Reading,Race/Ethnicity,White,24,21,15,24,21,15,23,21,16
015828,Reading,Homeless,Homeless,8,5,4,NA,NA,NA,8,5,5
015828,Reading,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,5,3,1
015828,Writing,Race/Ethnicity,Black or African American,45,36,21,45,36,21,45,36,20
015828,Writing,Race/Ethnicity,Hispanic/Latino,140,100,91,140,100,91,140,100,91
015828,Writing,Race/Ethnicity,Other,16,11,11,16,11,11,16,14,10
015828,Writing,Race/Ethnicity,White,24,21,21,24,21,21,25,21,20
015828,Writing,Homeless,Homeless,8,5,4,NA,NA,NA,8,5,5
015828,Writing,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,3,1,0
015828,Health,Race/Ethnicity,Black or African American,45,36,19,45,36,19,46,37,21
015828,Health,Race/Ethnicity,Hispanic/Latino,140,100,92,140,100,92,139,99,91
015828,Health,Race/Ethnicity,Other,16,11,11,16,11,11,12,11,11
015828,Health,Race/Ethnicity,White,24,21,21,24,21,21,25,19,19
015828,Health,Homeless,Homeless,8,5,5,NA,NA,NA,8,6,5
015828,Health,In Foster Care,In Foster Care,3,2,1,NA,NA,NA,3,2,1
015828,Mathematics,Race/Ethnicity,Black or African American,45,36,36,45,36,36,45,36,36
015828,Mathematics,Race/Ethnicity,Hispanic/Latino,140,100,92,140,100,92,138,99,91
015828,Mathematics,Race/Ethnicity,Other,16,11,11,16,11,11,16,13,11
015828,Mathematics,Race/Ethnicity,White,24,21,21,24,21,21,23,21,21
015828,Mathematics,Homeless,Homeless,8,5,5,NA,NA,NA,9,4,4
015828,Mathematics,In Foster Care,In Foster Care,3,1,1,NA,NA,NA,3,1,0
015907,Reading,Race/Ethnicity,Black or African American,189,134,105,189,134,105,189,134,106
015907,Reading,Race/Ethnicity,Hispanic/Latino,2421,1984,1510,2421,1984,1510,2419,1983,1510
015907,Reading,Race/Ethnicity,Other,46,37,32,46,37,32,46,35,33
015907,Reading,Race/Ethnicity,White,109,79,65,109,79,65,111,80,65
015907,Reading,Homeless,Homeless,267,195,136,267,195,136,266,194,136
015907,Reading,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,4,4
015907,Writing,Race/Ethnicity,Black or African American,189,134,112,189,134,112,189,134,114
015907,Writing,Race/Ethnicity,Hispanic/Latino,2421,1975,1664,2421,1975,1664,2420,1975,1665
015907,Writing,Race/Ethnicity,Other,46,37,32,46,37,32,47,36,32
015907,Writing,Race/Ethnicity,White,109,80,71,109,80,71,108,79,71
015907,Writing,Homeless,Homeless,267,196,157,267,196,157,266,194,156
015907,Writing,In Foster Care,In Foster Care,12,5,5,12,NA,NA,11,5,4
015907,Health,Race/Ethnicity,Black or African American,189,134,106,189,134,106,191,136,104
015907,Health,Race/Ethnicity,Hispanic/Latino,2421,1988,1767,2421,1988,1767,2422,1987,1765
015907,Health,Race/Ethnicity,Other,46,37,34,46,37,34,45,38,34
015907,Health,Race/Ethnicity,White,109,80,71,109,80,71,108,79,69
015907,Health,Homeless,Homeless,267,196,173,267,196,173,268,196,175
015907,Health,In Foster Care,In Foster Care,12,5,5,12,NA,NA,10,6,4
015907,Mathematics,Race/Ethnicity,Black or African American,189,134,115,189,134,115,188,135,116
015907,Mathematics,Race/Ethnicity,Hispanic/Latino,2421,1979,1729,2421,1979,1729,2418,1978,1729
015907,Mathematics,Race/Ethnicity,Other,46,37,34,46,37,34,47,34,34
015907,Mathematics,Race/Ethnicity,White,109,78,71,109,78,71,109,78,71
015907,Mathematics,Homeless,Homeless,267,195,170,267,195,170,267,196,171
015907,Mathematics,In Foster Care,In Foster Care,12,5,5,12,NA,NA,12,6,5
015910,Reading,Race/Ethnicity,Black or African American,164,107,85,164,107,85,165,109,87
015910,Reading,Race/Ethnicity,Hispanic/Latino,1376,1029,805,1376,1029,805,1377,1031,806
015910,Reading,Race/Ethnicity,Other,153,128,114,153,128,114,151,129,113
015910,Reading,Race/Ethnicity,White,260,197,171,260,197,171,256,197,172
015910,Reading,Homeless,Homeless,50,27,12,50,27,12,50,28,13
015910,Reading,In Foster Care,In Foster Care,23,14,10,23,14,10,23,15,9
015910,Writing,Race/Ethnicity,Black or African American,164,107,92,164,107,92,165,105,94
015910,Writing,Race/Ethnicity,Hispanic/Latino,1376,1050,927,1376,1050,927,1377,1049,927
015910,Writing,Race/Ethnicity,Other,153,130,121,153,130,121,153,129,121
015910,Writing,Race/Ethnicity,White,260,199,188,260,199,188,261,200,188
015910,Writing,Homeless,Homeless,50,27,22,50,27,22,50,27,22
015910,Writing,In Foster Care,In Foster Care,23,14,12,23,14,12,23,14,12
015910,Health,Race/Ethnicity,Black or African American,164,107,92,164,107,92,165,106,91
015910,Health,Race/Ethnicity,Hispanic/Latino,1376,1050,956,1376,1050,956,1375,1051,957
015910,Health,Race/Ethnicity,Other,153,128,120,153,128,120,154,128,119
015910,Health,Race/Ethnicity,White,260,199,194,260,199,194,260,197,193
015910,Health,Homeless,Homeless,50,27,27,50,27,27,50,27,26
015910,Health,In Foster Care,In Foster Care,23,14,12,23,14,12,21,16,13
015910,Mathematics,Race/Ethnicity,Black or African American,164,106,100,164,106,100,164,107,100
015910,Mathematics,Race/Ethnicity,Hispanic/Latino,1376,1034,947,1376,1034,947,1375,1034,947
015910,Mathematics,Race/Ethnicity,Other,153,129,126,153,129,126,153,129,127
015910,Mathematics,Race/Ethnicity,White,260,197,186,260,197,186,261,196,185
015910,Mathematics,Homeless,Homeless,50,27,27,50,27,27,51,27,27
015910,Mathematics,In Foster Care,In Foster Care,23,14,14,23,14,14,23,14,14
015911,Reading,Race/Ethnicity,Black or African American,75,61,45,75,61,45,75,60,44
015911,Reading,Race/Ethnicity,Hispanic/Latino,458,361,276,458,361,276,457,361,276
015911,Reading,Race/Ethnicity,Other,35,22,22,35,22,22,35,21,21
015911,Reading,Race/Ethnicity,White,70,58,44,70,58,44,71,58,44
015911,Reading,Homeless,Homeless,24,16,11,24,16,11,25,15,10
015911,Reading,In Foster Care,In Foster Care,13,6,3,13,NA,NA,14,4,4
015911,Writing,Race/Ethnicity,Black or African American,75,61,47,75,61,47,75,60,49
015911,Writing,Race/Ethnicity,Hispanic/Latino,458,357,312,458,357,312,459,356,314
015911,Writing,Race/Ethnicity,Other,35,22,21,35,22,21,33,23,20
015911,Writing,Race/Ethnicity,White,70,59,53,70,59,53,67,58,52
015911,Writing,Homeless,Homeless,24,16,12,24,16,12,24,17,14
015911,Writing,In Foster Care,In Foster Care,13,6,6,13,NA,NA,14,5,5
015911,Health,Race/Ethnicity,Black or African American,75,61,53,75,61,53,74,62,53
015911,Health,Race/Ethnicity,Hispanic/Latino,458,358,313,458,358,313,458,359,313
015911,Health,Race/Ethnicity,Other,35,21,19,35,21,19,35,21,18
015911,Health,Race/Ethnicity,White,70,59,53,70,59,53,70,58,54
015911,Health,Homeless,Homeless,24,16,13,24,16,13,24,14,14
015911,Health,In Foster Care,In Foster Care,13,6,4,13,NA,NA,14,5,5
015911,Mathematics,Race/Ethnicity,Black or African American,75,61,52,75,61,52,74,59,51
015911,Mathematics,Race/Ethnicity,Hispanic/Latino,458,357,310,458,357,310,458,358,311
015911,Mathematics,Race/Ethnicity,Other,35,22,20,35,22,20,35,21,19
015911,Mathematics,Race/Ethnicity,White,70,60,54,70,60,54,69,60,55
015911,Mathematics,Homeless,Homeless,24,16,13,24,16,13,24,16,13
015911,Mathematics,In Foster Care,In Foster Care,13,6,4,13,NA,NA,13,6,3
015912,Reading,Race/Ethnicity,Black or African American,48,32,7,48,32,NA,47,32,6
015912,Reading,Race/Ethnicity,Hispanic/Latino,686,402,62,686,402,62,687,401,63
015912,Reading,Race/Ethnicity,Other,23,15,2,23,15,NA,23,15,2
015912,Reading,Race/Ethnicity,White,44,29,4,44,29,NA,45,29,5
015912,Reading,Homeless,Homeless,41,18,2,41,18,NA,39,18,3
015912,Reading,In Foster Care,In Foster Care,10,4,1,10,NA,NA,10,4,0
015912,Writing,Race/Ethnicity,Black or African American,48,35,11,48,35,11,48,34,13
015912,Writing,Race/Ethnicity,Hispanic/Latino,686,413,100,686,413,100,686,415,102
015912,Writing,Race/Ethnicity,Other,23,17,7,23,17,NA,24,18,6
015912,Writing,Race/Ethnicity,White,44,29,7,44,29,NA,47,30,7
015912,Writing,Homeless,Homeless,41,19,4,41,19,NA,41,21,4
015912,Writing,In Foster Care,In Foster Care,10,4,1,10,NA,NA,10,5,2
015912,Health,Race/Ethnicity,Black or African American,48,35,8,48,35,NA,49,35,9
015912,Health,Race/Ethnicity,Hispanic/Latino,686,418,129,686,418,129,687,417,128
015912,Health,Race/Ethnicity,Other,23,17,7,23,17,NA,23,17,6
015912,Health,Race/Ethnicity,White,44,29,9,44,29,NA,44,29,9
015912,Health,Homeless,Homeless,41,19,5,41,19,NA,40,19,8
015912,Health,In Foster Care,In Foster Care,10,4,1,10,NA,NA,11,3,0
015912,Mathematics,Race/Ethnicity,Black or African American,48,35,5,48,35,NA,47,34,4
015912,Mathematics,Race/Ethnicity,Hispanic/Latino,686,401,47,686,401,47,686,400,46
015912,Mathematics,Race/Ethnicity,Other,23,17,3,23,17,NA,23,17,1
015912,Mathematics,Race/Ethnicity,White,44,29,4,44,29,NA,45,30,3
015912,Mathematics,Homeless,Homeless,41,19,2,41,19,NA,40,19,2
015912,Mathematics,In Foster Care,In Foster Care,10,4,1,10,NA,NA,9,4,1
015915,Reading,Race/Ethnicity,Black or African American,289,223,189,289,223,189,290,223,190
015915,Reading,Race/Ethnicity,Hispanic/Latino,2356,1961,1498,2356,1961,1498,2357,1961,1498
015915,Reading,Race/Ethnicity,Other,361,302,246,361,302,246,361,304,248
015915,Reading,Race/Ethnicity,White,339,252,198,339,252,198,339,252,199
015915,Reading,Homeless,Homeless,127,85,60,127,85,60,127,85,61
015915,Reading,In Foster Care,In Foster Care,70,44,35,70,44,35,71,43,35
015915,Writing,Race/Ethnicity,Black or African American,289,221,189,289,221,189,288,220,188
015915,Writing,Race/Ethnicity,Hispanic/Latino,2356,1919,1677,2356,1919,1677,2358,1918,1678
015915,Writing,Race/Ethnicity,Other,361,298,267,361,298,267,362,298,268
015915,Writing,Race/Ethnicity,White,339,247,225,339,247,225,339,245,225
015915,Writing,Homeless,Homeless,127,82,69,127,82,69,126,83,70
015915,Writing,In Foster Care,In Foster Care,70,42,37,70,42,37,69,42,36
015915,Health,Race/Ethnicity,Black or African American,289,218,192,289,218,192,288,218,194
015915,Health,Race/Ethnicity,Hispanic/Latino,2356,1872,1712,2356,1872,1712,2357,1874,1712
015915,Health,Race/Ethnicity,Other,361,297,273,361,297,273,358,297,273
015915,Health,Race/Ethnicity,White,339,245,228,339,245,228,338,245,227
015915,Health,Homeless,Homeless,127,82,72,127,82,72,128,81,72
015915,Health,In Foster Care,In Foster Care,70,42,37,70,42,37,71,44,36
015915,Mathematics,Race/Ethnicity,Black or African American,289,222,205,289,222,205,288,222,205
015915,Mathematics,Race/Ethnicity,Hispanic/Latino,2356,1943,1731,2356,1943,1731,2356,1942,1732
015915,Mathematics,Race/Ethnicity,Other,361,299,254,361,299,254,358,298,252
015915,Mathematics,Race/Ethnicity,White,339,251,236,339,251,236,338,250,236
015915,Mathematics,Homeless,Homeless,127,83,71,127,83,71,128,84,69
015915,Mathematics,In Foster Care,In Foster Care,70,42,23,70,42,23,71,43,24
015916,Reading,Race/Ethnicity,Black or African American,267,198,151,267,198,151,266,197,151
015916,Reading,Race/Ethnicity,Hispanic/Latino,683,550,436,683,550,436,683,551,436
015916,Reading,Race/Ethnicity,Other,68,54,49,68,54,49,69,53,49
015916,Reading,Race/Ethnicity,White,116,91,76,116,91,76,116,92,77
015916,Reading,Homeless,Homeless,30,13,13,30,13,13,29,13,13
015916,Reading,In Foster Care,In Foster Care,18,6,6,18,NA,NA,18,6,5
015916,Writing,Race/Ethnicity,Black or African American,267,192,153,267,192,153,267,192,153
015916,Writing,Race/Ethnicity,Hispanic/Latino,683,547,492,683,547,492,681,548,490
015916,Writing,Race/Ethnicity,Other,68,54,50,68,54,50,70,55,50
015916,Writing,Race/Ethnicity,White,116,91,78,116,91,78,112,91,78
015916,Writing,Homeless,Homeless,30,13,13,30,13,13,30,13,13
015916,Writing,In Foster Care,In Foster Care,18,6,6,18,NA,NA,17,8,5
015916,Health,Race/Ethnicity,Black or African American,267,112,97,267,112,97,265,111,98
015916,Health,Race/Ethnicity,Hispanic/Latino,683,281,260,683,281,260,681,282,259
015916,Health,Race/Ethnicity,Other,68,28,27,68,28,27,67,29,26
015916,Health,Race/Ethnicity,White,116,38,31,116,38,31,117,39,31
015916,Health,Homeless,Homeless,30,8,8,30,NA,NA,31,6,6
015916,Health,In Foster Care,In Foster Care,18,4,4,18,NA,NA,17,5,4
015916,Mathematics,Race/Ethnicity,Black or African American,267,196,167,267,196,167,269,197,166
015916,Mathematics,Race/Ethnicity,Hispanic/Latino,683,549,486,683,549,486,683,550,487
015916,Mathematics,Race/Ethnicity,Other,68,53,48,68,53,48,68,53,49
015916,Mathematics,Race/Ethnicity,White,116,92,82,116,92,82,116,92,82
015916,Mathematics,Homeless,Homeless,30,13,13,30,13,13,29,13,13
015916,Mathematics,In Foster Care,In Foster Care,18,6,6,18,NA,NA,18,4,4
015917,Reading,Race/Ethnicity,Black or African American,12,5,3,NA,NA,NA,13,7,2
015917,Reading,Race/Ethnicity,Hispanic/Latino,340,291,221,340,291,221,340,291,220
015917,Reading,Race/Ethnicity,Other,3,2,2,NA,NA,NA,5,1,1
015917,Reading,Race/Ethnicity,White,21,19,13,21,19,13,22,19,14
015917,Reading,Homeless,Homeless,8,7,7,NA,NA,NA,7,7,5
015917,Reading,In Foster Care,In Foster Care,8,6,2,NA,NA,NA,8,6,3
015917,Writing,Race/Ethnicity,Black or African American,12,5,5,NA,NA,NA,13,5,4
015917,Writing,Race/Ethnicity,Hispanic/Latino,340,289,250,340,289,250,341,291,252
015917,Writing,Race/Ethnicity,Other,6,6,6,NA,NA,NA,6,5,4
015917,Writing,Race/Ethnicity,White,21,19,10,21,19,10,21,18,10
015917,Writing,Homeless,Homeless,8,7,7,NA,NA,NA,9,8,7
015917,Writing,In Foster Care,In Foster Care,8,6,2,NA,NA,NA,8,8,3
015917,Health,Race/Ethnicity,Black or African American,12,6,6,NA,NA,NA,13,7,5
015917,Health,Race/Ethnicity,Hispanic/Latino,340,288,263,340,288,263,341,287,263
015917,Health,Race/Ethnicity,Other,6,6,6,NA,NA,NA,6,5,5
015917,Health,Race/Ethnicity,White,21,19,9,21,19,NA,21,16,9
015917,Health,Homeless,Homeless,8,6,6,NA,NA,NA,8,6,6
015917,Health,In Foster Care,In Foster Care,8,6,2,NA,NA,NA,8,8,2
015917,Mathematics,Race/Ethnicity,Black or African American,12,5,5,NA,NA,NA,12,5,5
015917,Mathematics,Race/Ethnicity,Hispanic/Latino,340,283,251,340,283,251,339,283,252
015917,Mathematics,Race/Ethnicity,Other,5,5,5,NA,NA,NA,4,4,4
015917,Mathematics,Race/Ethnicity,White,21,18,9,21,18,NA,22,17,8
015917,Mathematics,Homeless,Homeless,8,7,7,NA,NA,NA,8,7,7
015917,Mathematics,In Foster Care,In Foster Care,8,6,6,NA,NA,NA,7,7,5
020901,Reading,Race/Ethnicity,Black or African American,202,156,137,202,156,137,202,155,139
020901,Reading,Race/Ethnicity,Hispanic/Latino,430,356,313,430,356,313,431,356,314
020901,Reading,Race/Ethnicity,Other,112,96,89,112,96,89,112,95,88
020901,Reading,Race/Ethnicity,White,113,87,81,113,87,81,112,86,82
020901,Reading,Homeless,Homeless,28,12,12,28,12,12,29,11,11
020901,Reading,In Foster Care,In Foster Care,30,11,2,30,11,NA,30,10,3
020901,Writing,Race/Ethnicity,Black or African American,202,156,144,202,156,144,202,155,145
020901,Writing,Race/Ethnicity,Hispanic/Latino,430,357,333,430,357,333,432,356,332
020901,Writing,Race/Ethnicity,Other,112,96,96,112,96,96,111,94,94
020901,Writing,Race/Ethnicity,White,113,87,76,113,87,76,113,89,75
020901,Writing,Homeless,Homeless,28,12,12,28,12,12,27,11,11
020901,Writing,In Foster Care,In Foster Care,30,11,3,30,11,NA,29,10,3
020901,Health,Race/Ethnicity,Black or African American,202,148,137,202,148,137,203,147,137
020901,Health,Race/Ethnicity,Hispanic/Latino,430,349,319,430,349,319,430,351,320
020901,Health,Race/Ethnicity,Other,112,85,78,112,85,78,112,84,79
020901,Health,Race/Ethnicity,White,113,86,78,113,86,78,115,85,78
020901,Health,Homeless,Homeless,28,12,12,28,12,12,29,12,12
020901,Health,In Foster Care,In Foster Care,30,11,2,30,11,NA,31,12,2
020901,Mathematics,Race/Ethnicity,Black or African American,202,156,147,202,156,147,203,156,147
020901,Mathematics,Race/Ethnicity,Hispanic/Latino,430,355,336,430,355,336,430,355,338
020901,Mathematics,Race/Ethnicity,Other,112,95,95,112,95,95,112,94,94
020901,Mathematics,Race/Ethnicity,White,113,87,77,113,87,77,112,87,76
020901,Mathematics,Homeless,Homeless,28,12,12,28,12,12,30,15,10
020901,Mathematics,In Foster Care,In Foster Care,30,11,3,30,11,NA,30,11,2
020902,Reading,Race/Ethnicity,Black or African American,58,37,11,58,37,NA,59,37,10
020902,Reading,Race/Ethnicity,Hispanic/Latino,176,141,34,176,141,34,178,141,32
020902,Reading,Race/Ethnicity,Other,21,15,4,21,15,NA,22,14,4
020902,Reading,Race/Ethnicity,White,50,39,15,50,39,15,50,40,16
020902,Reading,Homeless,Homeless,12,6,2,12,NA,NA,12,5,2
020902,Reading,In Foster Care,In Foster Care,2,1,0,NA,NA,NA,2,1,0
020902,Writing,Race/Ethnicity,Black or African American,58,37,15,58,37,NA,58,39,14
020902,Writing,Race/Ethnicity,Hispanic/Latino,176,141,20,176,141,20,172,141,19
020902,Writing,Race/Ethnicity,Other,21,15,6,21,15,NA,19,15,5
020902,Writing,Race/Ethnicity,White,50,39,15,50,39,15,52,40,15
020902,Writing,Homeless,Homeless,12,6,2,12,NA,NA,11,6,1
020902,Writing,In Foster Care,In Foster Care,2,1,0,NA,NA,NA,1,1,1
020902,Health,Race/Ethnicity,Black or African American,58,37,17,58,37,NA,57,38,16
020902,Health,Race/Ethnicity,Hispanic/Latino,176,141,55,176,141,55,176,144,55
020902,Health,Race/Ethnicity,Other,21,15,6,21,15,NA,21,15,7
020902,Health,Race/Ethnicity,White,50,39,22,50,39,22,51,40,23
020902,Health,Homeless,Homeless,12,6,3,12,NA,NA,11,7,3
020902,Health,In Foster Care,In Foster Care,2,1,0,NA,NA,NA,3,2,0
020902,Mathematics,Race/Ethnicity,Black or African American,58,37,10,58,37,NA,58,35,12
020902,Mathematics,Race/Ethnicity,Hispanic/Latino,176,141,32,176,141,32,176,141,32
020902,Mathematics,Race/Ethnicity,Other,21,15,3,21,15,NA,21,16,4
020902,Mathematics,Race/Ethnicity,White,50,39,10,50,39,10,52,41,10
020902,Mathematics,Homeless,Homeless,12,6,2,12,NA,NA,11,4,1
020902,Mathematics,In Foster Care,In Foster Care,2,1,0,NA,NA,NA,2,2,2
020908,Reading,Race/Ethnicity,Black or African American,91,66,56,91,66,56,91,67,58
020908,Reading,Race/Ethnicity,Hispanic/Latino,236,206,167,236,206,167,236,205,167
020908,Reading,Race/Ethnicity,Other,92,79,73,92,79,73,94,78,71
020908,Reading,Race/Ethnicity,White,76,64,51,76,64,51,75,64,50
020908,Reading,Homeless,Homeless,15,9,9,15,NA,NA,15,10,9
020908,Reading,In Foster Care,In Foster Care,8,2,1,NA,NA,NA,8,2,1
020908,Writing,Race/Ethnicity,Black or African American,91,66,57,91,66,57,91,64,56
020908,Writing,Race/Ethnicity,Hispanic/Latino,236,206,171,236,206,171,236,207,173
020908,Writing,Race/Ethnicity,Other,92,76,70,92,76,70,91,77,68
020908,Writing,Race/Ethnicity,White,76,63,52,76,63,52,77,62,52
020908,Writing,Homeless,Homeless,15,9,9,15,NA,NA,15,9,9
020908,Writing,In Foster Care,In Foster Care,8,2,1,NA,NA,NA,8,3,0
020908,Health,Race/Ethnicity,Black or African American,91,66,56,91,66,56,90,66,57
020908,Health,Race/Ethnicity,Hispanic/Latino,236,206,184,236,206,184,235,206,183
020908,Health,Race/Ethnicity,Other,92,75,67,92,75,67,92,73,67
020908,Health,Race/Ethnicity,White,76,64,48,76,64,48,75,63,50
020908,Health,Homeless,Homeless,15,9,9,15,NA,NA,16,10,10
020908,Health,In Foster Care,In Foster Care,8,2,1,NA,NA,NA,8,1,1
020908,Mathematics,Race/Ethnicity,Black or African American,91,65,65,91,65,65,90,66,65
020908,Mathematics,Race/Ethnicity,Hispanic/Latino,236,205,182,236,205,182,234,205,183
020908,Mathematics,Race/Ethnicity,Other,92,79,48,92,79,48,90,79,47
020908,Mathematics,Race/Ethnicity,White,76,64,58,76,64,58,75,63,58
020908,Mathematics,Homeless,Homeless,15,9,9,15,NA,NA,14,8,8
020908,Mathematics,In Foster Care,In Foster Care,8,2,1,NA,NA,NA,10,1,0
021902,Reading,Race/Ethnicity,Black or African American,161,123,71,161,123,71,161,122,70
021902,Reading,Race/Ethnicity,Hispanic/Latino,505,447,338,505,447,338,504,447,338
021902,Reading,Race/Ethnicity,Other,32,23,16,32,23,16,32,23,15
021902,Reading,Race/Ethnicity,White,96,83,61,96,83,61,97,82,61
021902,Reading,Homeless,Homeless,21,12,6,21,12,NA,22,12,7
021902,Reading,In Foster Care,In Foster Care,11,6,3,11,NA,NA,12,7,3
021902,Writing,Race/Ethnicity,Black or African American,161,126,106,161,126,106,161,126,107
021902,Writing,Race/Ethnicity,Hispanic/Latino,505,447,358,505,447,358,506,447,359
021902,Writing,Race/Ethnicity,Other,32,24,23,32,24,23,32,25,22
021902,Writing,Race/Ethnicity,White,96,83,76,96,83,76,96,82,78
021902,Writing,Homeless,Homeless,21,12,12,21,12,12,21,13,12
021902,Writing,In Foster Care,In Foster Care,11,7,4,11,NA,NA,13,6,4
021902,Health,Race/Ethnicity,Black or African American,161,126,99,161,126,99,160,126,99
021902,Health,Race/Ethnicity,Hispanic/Latino,505,447,410,505,447,410,503,445,411
021902,Health,Race/Ethnicity,Other,32,23,15,32,23,15,32,23,14
021902,Health,Race/Ethnicity,White,96,83,83,96,83,83,95,84,81
021902,Health,Homeless,Homeless,21,12,6,21,12,NA,20,11,7
021902,Health,In Foster Care,In Foster Care,11,7,4,11,NA,NA,11,10,2
021902,Mathematics,Race/Ethnicity,Black or African American,161,124,99,161,124,99,161,124,99
021902,Mathematics,Race/Ethnicity,Hispanic/Latino,505,448,375,505,448,375,505,448,374
021902,Mathematics,Race/Ethnicity,Other,32,23,15,32,23,15,33,23,15
021902,Mathematics,Race/Ethnicity,White,96,83,83,96,83,83,96,82,82
021902,Mathematics,Homeless,Homeless,21,12,12,21,12,12,22,11,11
