DIST_CODE,ASSESSMENT SUBJECT,DATA_CATEGORY_GROUP,DATA_CATEGORY,ECDS_REPORTED,BOTH_BOY_EOY_ASSESSED,MATCH_PROFICIENT_BOY,MATCH_PROFICIENT_EOY,ECDS_REPORTED_suppress,BOTH_BOY_EOY_ASSESSED_suppress,MATCH_PROFICIENT_BOY_suppress,MATCH_PROFICIENT_EOY_suppress,ECDS_REPORTED_noisy_pp,BOTH_BOY_EOY_ASSESSED_noisy_pp,MATCH_PROFICIENT_BOY_noisy_pp,MATCH_PROFICIENT_EOY_noisy_pp
015828,Emergent Literacy Writing,Race/Ethnicity,White,24,21,16,21,24,21,16,21,24,20,16,20
015828,Emergent Literacy Writing,Homeless,Homeless,8,5,5,4,NA,NA,NA,NA,10,6,4,5
015828,Emergent Literacy Writing,In Foster Care,In Foster Care,3,1,1,1,NA,NA,NA,NA,4,1,1,0
015828,Health and Wellness,Race/Ethnicity,Black or African American,45,36,10,19,45,36,10,19,45,36,9,19
015828,Health and Wellness,Race/Ethnicity,Hispanic/Latino,140,100,100,92,140,100,100,92,140,100,98,92
015828,Health and Wellness,Race/Ethnicity,Other,16,11,11,11,16,11,11,11,17,11,11,10
015828,Health and Wellness,Race/Ethnicity,White,24,21,16,21,24,21,16,21,24,19,12,19
015828,Health and Wellness,Homeless,Homeless,8,5,5,5,NA,NA,NA,NA,8,5,4,5
015828,Health and Wellness,In Foster Care,In Foster Care,3,2,1,1,NA,NA,NA,NA,5,2,0,2
015828,Language and Communication,Race/Ethnicity,Black or African American,45,36,22,28,45,36,22,28,45,38,23,28
015828,Language and Communication,Race/Ethnicity,Hispanic/Latino,140,99,28,56,140,99,28,56,138,99,28,56
015828,Language and Communication,Race/Ethnicity,Other,16,11,6,10,16,11,NA,10,14,13,5,9
015828,Language and Communication,Race/Ethnicity,White,24,21,8,19,24,21,NA,19,26,21,9,19
015828,Language and Communication,Homeless,Homeless,8,5,2,3,NA,NA,NA,NA,8,4,0,3
015828,Language and Communication,In Foster Care,In Foster Care,3,1,1,1,NA,NA,NA,NA,3,1,0,0
015828,Mathematics,Race/Ethnicity,Black or African American,45,36,24,36,45,36,24,36,46,37,23,36
015828,Mathematics,Race/Ethnicity,Hispanic/Latino,140,100,83,92,140,100,83,92,141,100,84,92
015828,Mathematics,Race/Ethnicity,Other,16,11,11,11,16,11,11,11,16,10,10,10
015828,Mathematics,Race/Ethnicity,White,24,21,15,21,24,21,15,21,22,21,13,21
015828,Mathematics,Homeless,Homeless,8,5,4,5,NA,NA,NA,NA,8,5,5,5
015828,Mathematics,In Foster Care,In Foster Care,3,1,1,1,NA,NA,NA,NA,3,1,1,0
015907,Emergent Literacy Reading,Race/Ethnicity,Black or African American,189,134,70,105,189,134,70,105,188,134,71,106
015907,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,2421,1984,883,1510,2421,1984,883,1510,2421,1985,882,1509
015907,Emergent Literacy Reading,Race/Ethnicity,Other,46,37,21,32,46,37,21,32,46,38,21,33
015907,Emergent Literacy Reading,Race/Ethnicity,White,109,79,39,65,109,79,39,65,110,80,41,66
015907,Emergent Literacy Reading,Homeless,Homeless,267,195,84,136,267,195,84,136,266,195,84,136
015907,Emergent Literacy Reading,In Foster Care,In Foster Care,12,5,5,5,12,NA,NA,NA,11,5,5,5
015907,Emergent Literacy Writing,Race/Ethnicity,Black or African American,189,134,128,112,189,134,128,112,190,132,128,112
015907,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,2421,1975,1770,1664,2421,1975,1770,1664,2420,1975,1768,1665
015907,Emergent Literacy Writing,Race/Ethnicity,Other,46,37,35,32,46,37,35,32,47,38,36,31
015907,Emergent Literacy Writing,Race/Ethnicity,White,109,80,75,71,109,80,75,71,109,81,73,72
015907,Emergent Literacy Writing,Homeless,Homeless,267,196,175,157,267,196,175,157,268,196,176,156
015907,Emergent Literacy Writing,In Foster Care,In Foster Care,12,5,5,5,12,NA,NA,NA,14,5,5,5
015907,Health and Wellness,Race/Ethnicity,Black or African American,189,134,82,106,189,134,82,106,190,132,81,105
015907,Health and Wellness,Race/Ethnicity,Hispanic/Latino,2421,1988,1923,1767,2421,1988,1923,1767,2423,1988,1923,1766
015907,Health and Wellness,Race/Ethnicity,Other,46,37,37,34,46,37,37,34,44,37,34,33
015907,Health and Wellness,Race/Ethnicity,White,109,80,80,71,109,80,80,71,110,81,80,73
015907,Health and Wellness,Homeless,Homeless,267,196,190,173,267,196,190,173,268,197,189,172
015907,Health and Wellness,In Foster Care,In Foster Care,12,5,5,5,12,NA,NA,NA,11,3,3,3
015907,Language and Communication,Race/Ethnicity,Black or African American,189,134,46,92,189,134,46,92,190,136,46,92
015907,Language and Communication,Race/Ethnicity,Hispanic/Latino,2421,1982,903,1366,2421,1982,903,1366,2421,1981,902,1366
015907,Language and Communication,Race/Ethnicity,Other,46,37,18,21,46,37,18,21,44,36,20,22
015907,Language and Communication,Race/Ethnicity,White,109,80,33,57,109,80,33,57,110,78,34,57
015907,Language and Communication,Homeless,Homeless,267,195,91,128,267,195,91,128,266,194,91,129
015907,Language and Communication,In Foster Care,In Foster Care,12,5,5,5,12,NA,NA,NA,11,4,4,4
015907,Mathematics,Race/Ethnicity,Black or African American,189,134,111,115,189,134,111,115,188,131,109,114
015907,Mathematics,Race/Ethnicity,Hispanic/Latino,2421,1979,1576,1729,2421,1979,1576,1729,2420,1979,1576,1729
015907,Mathematics,Race/Ethnicity,Other,46,37,30,34,46,37,30,34,45,38,30,35
015907,Mathematics,Race/Ethnicity,White,109,78,64,71,109,78,64,71,109,78,65,72
015907,Mathematics,Homeless,Homeless,267,195,145,170,267,195,145,170,268,195,144,172
015907,Mathematics,In Foster Care,In Foster Care,12,5,5,5,12,NA,NA,NA,13,5,5,5
015910,Emergent Literacy Reading,Race/Ethnicity,Black or African American,164,107,54,85,164,107,54,85,164,106,54,82
015910,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,1376,1029,386,805,1376,1029,386,805,1376,1028,387,805
015910,Emergent Literacy Reading,Race/Ethnicity,Other,153,128,80,114,153,128,80,114,152,129,83,114
015910,Emergent Literacy Reading,Race/Ethnicity,White,260,197,115,171,260,197,115,171,260,198,116,173
015910,Emergent Literacy Reading,Homeless,Homeless,50,27,18,12,50,27,18,12,49,27,19,11
015910,Emergent Literacy Reading,In Foster Care,In Foster Care,23,14,6,10,23,14,NA,10,23,13,7,11
015910,Emergent Literacy Writing,Race/Ethnicity,Black or African American,164,107,99,92,164,107,99,92,165,104,98,91
015910,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,1376,1050,925,927,1376,1050,925,927,1375,1051,925,927
015910,Emergent Literacy Writing,Race/Ethnicity,Other,153,130,118,121,153,130,118,121,152,132,119,122
015910,Emergent Literacy Writing,Race/Ethnicity,White,260,199,188,188,260,199,188,188,260,199,189,187
015910,Emergent Literacy Writing,Homeless,Homeless,50,27,27,22,50,27,27,22,51,27,27,20
015910,Emergent Literacy Writing,In Foster Care,In Foster Care,23,14,9,12,23,14,NA,12,22,15,9,13
015910,Health and Wellness,Race/Ethnicity,Black or African American,164,107,107,92,164,107,107,92,162,106,106,93
015910,Health and Wellness,Race/Ethnicity,Hispanic/Latino,1376,1050,1021,956,1376,1050,1021,956,1376,1051,1021,957
015910,Health and Wellness,Race/Ethnicity,Other,153,128,117,120,153,128,117,120,154,126,116,119
015910,Health and Wellness,Race/Ethnicity,White,260,199,189,194,260,199,189,194,259,198,189,195
015910,Health and Wellness,Homeless,Homeless,50,27,27,27,50,27,27,27,51,25,25,25
015910,Health and Wellness,In Foster Care,In Foster Care,23,14,14,12,23,14,14,12,22,15,14,12
015910,Language and Communication,Race/Ethnicity,Black or African American,164,108,50,72,164,108,50,72,162,105,49,73
015910,Language and Communication,Race/Ethnicity,Hispanic/Latino,1376,1028,578,736,1376,1028,578,736,1377,1029,579,737
015910,Language and Communication,Race/Ethnicity,Other,153,129,65,89,153,129,65,89,154,130,65,87
015910,Language and Communication,Race/Ethnicity,White,260,197,129,165,260,197,129,165,260,197,128,167
015910,Language and Communication,Homeless,Homeless,50,27,11,13,50,27,11,13,51,29,11,11
015910,Language and Communication,In Foster Care,In Foster Care,23,14,8,10,23,14,NA,10,24,14,9,9
015910,Mathematics,Race/Ethnicity,Black or African American,164,106,87,100,164,106,87,100,164,105,87,99
015910,Mathematics,Race/Ethnicity,Hispanic/Latino,1376,1034,870,947,1376,1034,870,947,1376,1034,872,947
015910,Mathematics,Race/Ethnicity,Other,153,129,112,126,153,129,112,126,152,131,111,127
015910,Mathematics,Race/Ethnicity,White,260,197,189,186,260,197,189,186,259,197,190,186
015910,Mathematics,Homeless,Homeless,50,27,18,27,50,27,18,27,52,25,18,25
015910,Mathematics,In Foster Care,In Foster Care,23,14,12,14,23,14,12,14,24,14,12,14
015911,Emergent Literacy Reading,Race/Ethnicity,Black or African American,75,61,28,45,75,61,28,45,75,61,29,45
015911,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,458,361,116,276,458,361,116,276,457,362,116,276
015911,Emergent Literacy Reading,Race/Ethnicity,Other,35,22,8,22,35,22,NA,22,34,23,8,21
015911,Emergent Literacy Reading,Race/Ethnicity,White,70,58,25,44,70,58,NA,44,71,59,23,44
015911,Emergent Literacy Reading,Homeless,Homeless,24,16,5,11,24,16,NA,11,22,15,4,10
015911,Emergent Literacy Reading,In Foster Care,In Foster Care,13,6,2,3,13,NA,NA,NA,13,7,1,3
015911,Emergent Literacy Writing,Race/Ethnicity,Black or African American,75,61,46,47,75,61,46,47,76,61,45,48
015911,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,458,357,274,312,458,357,274,312,458,356,273,312
015911,Emergent Literacy Writing,Race/Ethnicity,Other,35,22,19,21,35,22,19,21,35,22,19,19
015911,Emergent Literacy Writing,Race/Ethnicity,White,70,59,43,53,70,59,43,53,71,58,43,54
015911,Emergent Literacy Writing,Homeless,Homeless,24,16,12,12,24,16,12,12,22,15,11,14
015911,Emergent Literacy Writing,In Foster Care,In Foster Care,13,6,6,6,13,NA,NA,NA,12,4,4,4
015911,Health and Wellness,Race/Ethnicity,Black or African American,75,61,39,53,75,61,39,53,76,59,39,54
015911,Health and Wellness,Race/Ethnicity,Hispanic/Latino,458,358,322,313,458,358,322,313,460,358,323,313
015911,Health and Wellness,Race/Ethnicity,Other,35,21,21,19,35,21,21,19,35,21,20,20
015911,Health and Wellness,Race/Ethnicity,White,70,59,54,53,70,59,54,53,70,58,55,51
015911,Health and Wellness,Homeless,Homeless,24,16,14,13,24,16,14,13,23,16,16,12
015911,Health and Wellness,In Foster Care,In Foster Care,13,6,6,4,13,NA,NA,NA,14,6,5,4
015911,Language and Communication,Race/Ethnicity,Black or African American,75,61,18,34,75,61,18,34,76,63,18,34
015911,Language and Communication,Race/Ethnicity,Hispanic/Latino,458,361,157,216,458,361,157,216,458,358,160,216
015911,Language and Communication,Race/Ethnicity,Other,35,22,10,16,35,22,10,16,35,24,10,16
015911,Language and Communication,Race/Ethnicity,White,70,58,31,40,70,58,31,40,71,60,31,41
015911,Language and Communication,Homeless,Homeless,24,16,6,9,24,16,NA,NA,24,16,5,9
015911,Language and Communication,In Foster Care,In Foster Care,13,6,2,3,13,NA,NA,NA,13,6,1,3
015911,Mathematics,Race/Ethnicity,Black or African American,75,61,44,52,75,61,44,52,74,61,44,52
015911,Mathematics,Race/Ethnicity,Hispanic/Latino,458,357,275,310,458,357,275,310,459,358,276,309
015911,Mathematics,Race/Ethnicity,Other,35,22,21,20,35,22,21,20,35,21,21,20
015911,Mathematics,Race/Ethnicity,White,70,60,50,54,70,60,50,54,70,60,49,54
015911,Mathematics,Homeless,Homeless,24,16,11,13,24,16,11,13,25,16,10,13
015911,Mathematics,In Foster Care,In Foster Care,13,6,4,4,13,NA,NA,NA,12,7,4,4
015912,Emergent Literacy Reading,Race/Ethnicity,Black or African American,48,32,6,7,48,32,NA,NA,47,33,5,6
015912,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,686,402,72,62,686,402,72,62,684,401,71,61
015912,Emergent Literacy Reading,Race/Ethnicity,Other,23,15,1,2,23,15,NA,NA,23,15,1,3
015912,Emergent Literacy Reading,Race/Ethnicity,White,44,29,8,4,44,29,NA,NA,44,29,8,5
015912,Emergent Literacy Reading,Homeless,Homeless,41,18,2,2,41,18,NA,NA,40,20,1,2
015912,Emergent Literacy Reading,In Foster Care,In Foster Care,10,4,1,1,10,NA,NA,NA,11,4,1,1
015912,Emergent Literacy Writing,Race/Ethnicity,Black or African American,48,35,9,11,48,35,NA,11,49,36,10,11
015912,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,686,413,143,100,686,413,143,100,683,412,142,98
015912,Emergent Literacy Writing,Race/Ethnicity,Other,23,17,4,7,23,17,NA,NA,24,17,4,7
015912,Emergent Literacy Writing,Race/Ethnicity,White,44,29,14,7,44,29,14,NA,45,29,14,7
015912,Emergent Literacy Writing,Homeless,Homeless,41,19,5,4,41,19,NA,NA,42,20,4,4
015912,Emergent Literacy Writing,In Foster Care,In Foster Care,10,4,1,1,10,NA,NA,NA,10,5,0,2
015912,Health and Wellness,Race/Ethnicity,Black or African American,48,35,23,8,48,35,23,NA,47,34,23,9
015912,Health and Wellness,Race/Ethnicity,Hispanic/Latino,686,418,246,129,686,418,246,129,684,417,247,129
015912,Health and Wellness,Race/Ethnicity,Other,23,17,8,7,23,17,NA,NA,23,16,7,8
015912,Health and Wellness,Race/Ethnicity,White,44,29,16,9,44,29,NA,NA,44,31,16,8
015912,Health and Wellness,Homeless,Homeless,41,19,12,5,41,19,12,NA,42,17,11,5
015912,Health and Wellness,In Foster Care,In Foster Care,10,4,3,1,10,NA,NA,NA,9,4,3,0
015912,Language and Communication,Race/Ethnicity,Black or African American,48,35,18,23,48,35,18,23,49,33,19,22
015912,Language and Communication,Race/Ethnicity,Hispanic/Latino,686,418,228,292,686,418,228,292,688,417,227,293
015912,Language and Communication,Race/Ethnicity,Other,23,17,10,14,23,17,10,14,22,17,10,15
015912,Language and Communication,Race/Ethnicity,White,44,29,20,23,44,29,20,23,43,27,21,21
015912,Language and Communication,Homeless,Homeless,41,19,11,9,41,19,11,NA,41,20,12,9
015912,Language and Communication,In Foster Care,In Foster Care,10,4,3,3,10,NA,NA,NA,10,3,2,3
015912,Mathematics,Race/Ethnicity,Black or African American,48,35,10,5,48,35,10,NA,49,35,10,6
015912,Mathematics,Race/Ethnicity,Hispanic/Latino,686,401,107,47,686,401,107,47,685,401,106,47
015912,Mathematics,Race/Ethnicity,Other,23,17,6,3,23,17,NA,NA,22,17,5,4
015912,Mathematics,Race/Ethnicity,White,44,29,9,4,44,29,NA,NA,43,30,11,5
015912,Mathematics,Homeless,Homeless,41,19,8,2,41,19,NA,NA,41,20,6,4
015912,Mathematics,In Foster Care,In Foster Care,10,4,1,1,10,NA,NA,NA,11,5,1,0
015915,Emergent Literacy Reading,Race/Ethnicity,Black or African American,289,223,167,189,289,223,167,189,289,224,167,189
015915,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,2356,1961,1061,1498,2356,1961,1061,1498,2356,1961,1062,1498
015915,Emergent Literacy Reading,Race/Ethnicity,Other,361,302,187,246,361,302,187,246,361,302,187,249
015915,Emergent Literacy Reading,Race/Ethnicity,White,339,252,160,198,339,252,160,198,339,252,162,196
015915,Emergent Literacy Reading,Homeless,Homeless,127,85,40,60,127,85,40,60,127,85,38,61
015915,Emergent Literacy Reading,In Foster Care,In Foster Care,70,44,30,35,70,44,30,35,70,44,31,33
015915,Emergent Literacy Writing,Race/Ethnicity,Black or African American,289,221,215,189,289,221,215,189,291,221,213,188
015915,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,2356,1919,1837,1677,2356,1919,1837,1677,2356,1919,1835,1677
015915,Emergent Literacy Writing,Race/Ethnicity,Other,361,298,287,267,361,298,287,267,360,301,286,268
015915,Emergent Literacy Writing,Race/Ethnicity,White,339,247,241,225,339,247,241,225,339,248,241,226
015915,Emergent Literacy Writing,Homeless,Homeless,127,82,82,69,127,82,82,69,127,81,81,69
015915,Emergent Literacy Writing,In Foster Care,In Foster Care,70,42,23,37,70,42,23,37,69,41,23,36
015915,Health and Wellness,Race/Ethnicity,Black or African American,289,218,218,192,289,218,218,192,290,217,217,194
015915,Health and Wellness,Race/Ethnicity,Hispanic/Latino,2356,1872,1861,1712,2356,1872,1861,1712,2356,1873,1860,1710
015915,Health and Wellness,Race/Ethnicity,Other,361,297,292,273,361,297,292,273,361,297,291,274
015915,Health and Wellness,Race/Ethnicity,White,339,245,245,228,339,245,245,228,340,244,244,227
015915,Health and Wellness,Homeless,Homeless,127,82,82,72,127,82,82,72,128,82,82,71
015915,Health and Wellness,In Foster Care,In Foster Care,70,42,42,37,70,42,42,37,70,43,42,38
015915,Language and Communication,Race/Ethnicity,Black or African American,289,223,129,158,289,223,129,158,289,223,129,157
015915,Language and Communication,Race/Ethnicity,Hispanic/Latino,2356,1962,1205,1360,2356,1962,1205,1360,2357,1965,1206,1362
015915,Language and Communication,Race/Ethnicity,Other,361,302,133,165,361,302,133,165,361,302,133,163
015915,Language and Communication,Race/Ethnicity,White,339,252,163,195,339,252,163,195,339,252,164,193
015915,Language and Communication,Homeless,Homeless,127,85,45,58,127,85,45,58,127,84,45,58
015915,Language and Communication,In Foster Care,In Foster Care,70,43,29,35,70,43,29,35,72,43,29,35
015915,Mathematics,Race/Ethnicity,Black or African American,289,222,213,205,289,222,213,205,290,221,213,206
015915,Mathematics,Race/Ethnicity,Hispanic/Latino,2356,1943,1764,1731,2356,1943,1764,1731,2355,1942,1764,1731
015915,Mathematics,Race/Ethnicity,Other,361,299,256,254,361,299,256,254,361,299,257,255
015915,Mathematics,Race/Ethnicity,White,339,251,235,236,339,251,235,236,338,250,235,237
015915,Mathematics,Homeless,Homeless,127,83,74,71,127,83,74,71,127,84,74,71
015915,Mathematics,In Foster Care,In Foster Care,70,42,24,23,70,42,24,23,72,43,24,23
015916,Emergent Literacy Reading,Race/Ethnicity,Black or African American,267,198,97,151,267,198,97,151,267,198,97,153
015916,Emergent Literacy Reading,Race/Ethnicity,Hispanic/Latino,683,550,223,436,683,550,223,436,682,549,224,437
015916,Emergent Literacy Reading,Race/Ethnicity,Other,68,54,25,49,68,54,25,49,66,55,25,47
015916,Emergent Literacy Reading,Race/Ethnicity,White,116,91,39,76,116,91,39,76,117,92,38,75
015916,Emergent Literacy Reading,Homeless,Homeless,30,13,6,13,30,13,NA,13,29,13,6,13
015916,Emergent Literacy Reading,In Foster Care,In Foster Care,18,6,4,6,18,NA,NA,NA,17,5,3,5
015916,Emergent Literacy Writing,Race/Ethnicity,Black or African American,267,192,175,153,267,192,175,153,266,193,175,152
015916,Emergent Literacy Writing,Race/Ethnicity,Hispanic/Latino,683,547,483,492,683,547,483,492,682,545,482,490
015916,Emergent Literacy Writing,Race/Ethnicity,Other,68,54,53,50,68,54,53,50,68,53,52,51
015916,Emergent Literacy Writing,Race/Ethnicity,White,116,91,85,78,116,91,85,78,114,93,85,78
015916,Emergent Literacy Writing,Homeless,Homeless,30,13,13,13,30,13,13,13,31,12,12,12
015916,Emergent Literacy Writing,In Foster Care,In Foster Care,18,6,6,6,18,NA,NA,NA,19,4,4,4
015916,Health and Wellness,Race/Ethnicity,Black or African American,267,112,107,97,267,112,107,97,267,113,106,96
015916,Health and Wellness,Race/Ethnicity,Hispanic/Latino,683,281,274,260,683,281,274,260,685,282,274,260
015916,Health and Wellness,Race/Ethnicity,Other,68,28,25,27,68,28,25,27,68,27,26,26
015916,Health and Wellness,Race/Ethnicity,White,116,38,38,31,116,38,38,31,117,36,36,30
015916,Health and Wellness,Homeless,Homeless,30,8,8,8,30,NA,NA,NA,29,6,6,6
015916,Health and Wellness,In Foster Care,In Foster Care,18,4,4,4,18,NA,NA,NA,17,3,3,3
015916,Language and Communication,Race/Ethnicity,Black or African American,267,196,90,130,267,196,90,130,267,197,87,128
